size  MaxDepth  addTimeElapsed  searchTimeElapsed  deleteTimeElapsed
10000 12 823 1391 3218
20000 12 641 442 1162
30000 12 325 271 746
40000 12 256 278 622
50000 12 162 174 558
60000 12 209 153 861
70000 12 170 706 700
80000 12 162 525 1011
90000 12 128 101 528
100000 12 135 99 249
110000 12 135 120 703
120000 12 168 130 382
130000 12 168 121 268
140000 12 183 136 259
150000 12 191 121 265
160000 12 148 99 191
170000 12 141 101 247
180000 12 165 98 188
190000 12 145 106 192
200000 12 147 138 282
210000 12 132 98 189
220000 12 135 138 346
230000 12 153 126 272
240000 12 158 128 285
250000 12 167 101 188
260000 12 134 127 254
270000 12 166 103 275
280000 12 165 132 263
290000 12 165 107 195
300000 12 140 105 193
310000 12 153 130 285
320000 12 163 134 300
330000 12 138 112 188
340000 12 121 103 189
350000 12 115 97 186
360000 12 112 97 181
370000 12 112 100 173
380000 12 116 275 220
390000 12 116 101 177
400000 12 112 104 173
410000 12 116 100 266
420000 12 115 101 175
430000 12 112 103 180
440000 12 116 119 226
450000 12 113 99 178
460000 12 113 100 176
470000 12 116 100 176
480000 12 115 97 173
490000 12 114 96 174
500000 12 115 110 202
510000 12 112 101 176
520000 12 113 96 264
530000 12 116 99 180
540000 12 115 101 177
550000 12 113 101 176
560000 12 116 99 177
570000 12 114 100 184
580000 12 114 97 184
590000 12 117 100 188
600000 12 113 101 174
610000 12 113 112 198
620000 12 115 103 180
630000 12 115 129 222
640000 12 116 101 172
650000 12 115 102 185
660000 12 113 101 176
670000 12 116 100 182
680000 12 114 101 184
690000 12 116 103 186
700000 12 113 99 175
710000 12 116 103 182
720000 12 115 102 178
730000 12 116 100 185
740000 12 114 100 183
750000 12 122 105 205
760000 12 146 101 189
770000 12 117 101 187
780000 12 116 99 265
790000 12 118 116 300
800000 12 120 100 195
810000 12 118 100 181
820000 12 116 102 188
830000 12 124 99 182
840000 12 118 101 178
850000 12 118 100 177
860000 12 116 101 182
870000 12 118 100 178
880000 12 116 102 184
890000 12 119 102 181
900000 12 116 101 176
910000 12 120 101 272
920000 12 116 99 180
930000 12 121 101 180
940000 12 127 105 223
950000 12 126 104 199
960000 12 120 103 172
970000 12 118 101 177
980000 12 117 105 177
990000 12 122 112 202
1000000 12 117 103 185
