size  MaxDepth  addTimeElapsed  searchTimeElapsed  deleteTimeElapsed
10000 16 1246 4041 3933
20000 18 777 327 931
30000 19 1094 854 1820
40000 20 923 797 1742
50000 21 1064 1221 1170
60000 21 920 664 843
70000 22 1036 706 901
80000 22 1235 793 996
90000 23 1221 851 1033
100000 23 1071 723 1004
110000 23 1318 919 1087
120000 24 1412 985 1495
130000 24 1535 1046 1279
140000 24 1241 528 639
150000 24 754 540 690
160000 25 767 2466 4207
170000 25 817 1013 1341
180000 25 862 813 1604
190000 25 947 1117 1246
200000 25 2700 1101 835
210000 25 858 723 913
220000 26 908 704 858
230000 26 942 721 932
240000 26 994 737 910
250000 26 1025 778 978
260000 26 1090 853 1025
270000 26 1135 834 1038
280000 27 1152 916 1109
290000 27 2514 881 1325
300000 27 1089 852 1071
310000 27 1122 843 1095
320000 27 1163 861 1093
330000 27 1209 953 1185
340000 27 1224 874 1125
350000 27 1673 907 1137
360000 27 1240 969 1155
370000 27 1276 944 1185
380000 28 1311 978 1202
390000 28 1328 980 5134
400000 28 1360 989 2241
410000 28 1387 1039 2300
420000 28 4485 1045 1802
430000 28 1494 1097 1350
440000 28 1973 1187 1466
450000 28 1707 1317 1577
460000 28 1717 1279 1972
470000 28 1794 1188 1504
480000 28 1814 1500 1546
490000 28 2757 1360 1932
500000 28 1846 1294 1584
510000 28 1928 2758 11827
520000 29 2253 1306 2724
530000 29 2026 1311 3402
540000 29 1862 1351 3227
550000 29 3217 1443 1610
560000 29 1941 1835 1558
570000 29 2634 2704 3196
580000 29 2908 1397 1936
590000 29 2812 1721 2472
600000 29 2435 1778 2897
610000 29 3733 1585 2330
620000 29 2569 2341 3469
630000 29 2489 2159 4654
640000 29 2462 1933 4108
650000 29 2561 1818 2328
660000 29 7217 1513 1847
670000 29 1887 1760 1886
680000 29 1913 1448 2090
690000 30 2082 1477 1854
700000 30 2715 2315 2194
710000 30 2005 1579 2115
720000 30 2008 1781 2299
730000 30 2141 1937 2796
740000 30 2157 1529 1956
750000 30 2828 1563 2193
760000 30 2075 1677 2577
770000 30 2434 1602 2036
780000 30 2445 1799 5801
790000 30 3663 1675 3589
800000 30 10723 1616 3619
810000 30 2597 1687 2906
820000 30 3483 2753 2985
830000 30 2435 1755 2848
840000 30 2830 3801 7137
850000 30 3777 1890 2975
860000 30 2606 1708 2168
870000 30 2476 2062 2803
880000 30 2747 1977 2168
890000 30 3007 2026 2991
900000 30 2842 2005 2380
910000 30 14232 2170 3104
920000 31 2785 1896 2494
930000 31 2443 1790 2322
940000 31 2769 2013 2487
950000 31 2422 4265 9408
960000 31 8655 1882 2411
970000 31 2422 2544 2349
980000 31 2433 2088 2322
990000 31 2482 2172 2725
1000000 31 3008 2462 2794
