size  MaxDepth  addTimeElapsed  searchTimeElapsed  deleteTimeElapsed
10000 4 527 534 576
20000 4 180 345 600
30000 4 299 574 1197
40000 4 152 121 255
50000 4 72 74 155
60000 4 107 74 151
70000 4 133 187 236
80000 4 90 62 63
90000 4 72 57 360
100000 4 63 135 157
110000 4 70 60 140
120000 4 60 59 129
130000 4 61 64 145
140000 4 68 73 138
150000 4 72 121 146
160000 4 88 62 172
170000 4 69 72 192
180000 4 109 72 301
190000 4 87 57 69
200000 4 61 66 160
210000 4 58 116 144
220000 4 59 74 149
230000 4 64 71 100
240000 4 69 66 320
250000 4 73 89 281
260000 4 64 266 141
270000 4 60 474 68
280000 4 57 270 123
290000 4 54 260 132
300000 4 65 68 86
310000 4 80 69 619
320000 4 80 71 164
330000 4 83 66 171
340000 4 80 65 221
350000 4 108 65 134
360000 4 79 53 98
370000 4 66 54 143
380000 4 67 59 5952
390000 4 71 59 653
400000 4 68 64 328
410000 4 71 64 311
420000 4 87 51 422
430000 4 61 52 323
440000 4 55 50 426
450000 4 54 52 403
460000 4 56 51 115
470000 4 57 51 119
480000 4 58 52 124
490000 4 56 52 81
500000 4 57 53 122
510000 4 57 53 465
520000 4 54 53 115
530000 4 55 49 112
540000 4 58 55 181
550000 4 57 51 420
560000 4 54 51 119
570000 4 56 69 151
580000 4 56 52 143
590000 4 56 54 74
600000 4 54 50 126
610000 4 54 55 112
620000 4 56 51 115
630000 4 54 53 126
640000 4 55 238 143
650000 4 54 51 110
660000 4 56 50 116
670000 4 57 51 115
680000 4 55 50 82
690000 4 55 50 117
700000 4 56 50 116
710000 4 56 53 85
720000 4 56 51 173
730000 4 56 51 201
740000 4 54 50 444
750000 4 54 51 96
760000 4 55 51 420
770000 4 56 51 115
780000 4 56 50 77
790000 4 56 52 409
800000 4 55 51 112
810000 4 55 52 173
820000 4 56 53 83
830000 4 55 51 180
840000 4 58 51 87
850000 4 55 52 186
860000 4 54 51 178
870000 4 55 52 106
880000 4 57 53 164
890000 4 54 51 91
900000 4 54 53 94
910000 4 55 51 85
920000 4 55 53 79
930000 4 56 51 83
940000 4 57 51 83
950000 4 56 50 121
960000 4 56 52 92
970000 4 55 51 54
980000 4 55 54 328
990000 4 56 51 93
1000000 4 55 52 386
